round_epochs,val_loss,val_acc,loss,acc,lr,activation,init_mode,optimizer,batch_size,epochs,output,dropout,momentum
72,1.3805068175156912,0.5205999978462855,1.2588876883660045,0.556571427316325,0.02,elu,glorot_normal,SGD,107,72,10,0.16,0.9
72,1.365480742708842,0.5235999919255575,1.2132070726394653,0.5683142867088318,0.08,elu,glorot_normal,SGD,392,72,10,0.12,0.9
104,1.2992085913419724,0.5617333318332831,0.8320993193728583,0.7028285713587489,0.03,elu,glorot_normal,SGD,167,104,10,0.08,0.9
56,1.5874657877286276,0.425999999276797,1.6771638218266622,0.4014571401136262,0.06,elu,glorot_normal,SGD,242,56,10,0.36,0.9
152,1.3506474910736084,0.5615333272536596,0.2917046140619687,0.9002000123296465,0.06,elu,glorot_normal,SGD,92,152,10,0.12,0.9
184,1.3233265495856603,0.573333332157135,0.6867492398296083,0.768457143851689,0.09,elu,glorot_normal,SGD,122,184,10,0.24,0.9
160,1.4799775270462037,0.47853333247502644,1.4996078072139194,0.4695714281763349,0.02,elu,glorot_normal,SGD,152,160,10,0.36,0.9
48,1.3956052874763807,0.5345999953130881,0.5784158481874636,0.7918857225026403,0.05,elu,glorot_normal,SGD,47,48,10,0.04,0.9
168,1.3038319217046102,0.5577333277066548,0.8780220665931702,0.6885428589820862,0.06,elu,glorot_normal,SGD,392,168,10,0.12,0.9
96,14.506286112594605,0.10000000007227063,14.416765809590476,0.10342857082997049,0.09,elu,glorot_normal,Adam,197,96,10,0.24,0.9
96,1.436057505106926,0.4961999991973241,1.4495804379361017,0.49362857335465293,0.07,elu,glorot_normal,SGD,227,96,10,0.32,0.9
120,14.506286117299398,0.0999999999264876,14.4028790996824,0.1054000004036086,0.09,elu,glorot_normal,Adam,332,120,10,0.16,0.9
